r,V
0.5425580516,303.625101
0.5477003994,287.0865877
0.5549780013,272.8292486
0.5548675571,260.2827902
0.5621167112,242.7937876
0.5682915446,223.4038064
0.5744747451,204.9643146
0.580659619,186.7149205
0.5868545332,169.6061137
0.5930527942,152.8775025
0.6013469845,133.962766
0.6106845376,113.4321977
0.6169070628,99.46000539
0.6231320982,85.77295987
0.629369963,73.54333124
0.6356064332,61.15528773
0.6418306319,47.37319328
0.6533039968,29.18716522
0.660576439,14.34369109
0.6668035661,0.8942678876
0.6803926223,-17.23292037
0.6919237593,-28.85604632
0.7044943146,-42.54309184
0.7202208959,-58.1311159
0.7391202371,-73.71913996
0.7612048888,-87.88143011
0.7959772336,-102.423916
0.8530065899,-111.548613
0.9228433632,-107.4528683
0.9864008425,-95.83385702
1.040440397,-84.17452195
1.10720669,-68.45976599
1.167591263,-56.85746027
1.234316933,-45.75747374
1.304198888,-36.52908699
1.374064413,-29.16711554
1.443912596,-23.77524912
1.513752564,-19.31659036
1.586305716,-15.57635335
1.666098287,-13.26802226
1.761302003,-10.89179908
1.831116642,-9.310530568
1.900929683,-7.910719095
1.970738618,-6.977511446
2.040548921,-5.888769189
2.107973721,-5.474010234
2.180159943,-4.800026932
2.249965606,-4.238374181
2.359432519,-3.477982763
2.414954981,-3.57303169
2.478423568,-2.052248855